comment,positive,negative,rude,offensive,abusive,hate speech
جھوٹ تو بولنا چھوڑےگی نہیں,0,1,1,0,0,0
ڈرامے باز,0,1,1,0,0,0
تیری وینز میں تو یوتھیا کا خون دوڑ رہا ہے اس پہ کچھ اثر نہیں ہوگا,0,1,1,0,0,0
کھوتا,0,1,1,0,0,0
ڈرامہ باز,0,1,1,0,0,0
جھوٹا,0,1,1,0,0,0
پاکستان کا دشمن,0,1,1,0,0,0
نیا پاکستان کے بعد حقیقی آزادی ٹھیک لولی پاپ دیا ہوا ہے اور آپ لوگ اچھے سے چوس بھی رہے ہو,0,1,1,0,0,0
اب تو پاکستانی ماڈلز بھی ننگی ہونے میں یورپین ماڈلز کا مقابلہ کر رہی ہیں,0,1,1,0,0,0
کس کو پتہ تھا پاکستانی قوم ایک سانپ پال رہئ ھے جو سارے ملک کو ڈس لے گا,0,1,1,0,0,0
یہ عبادت کی جگہ ہیں ماڈلنگ کی نہیں بےغیرت,0,1,1,0,0,0
ڈرامہ,0,1,1,0,0,0
فراڈیا رنگ باز,0,1,1,0,0,0
اتنی مقدس جگہ پر بھی فوٹو شوٹ ان لوگوں کی بےشرمی کی کوئی حد نہیں,0,1,1,0,0,0
جھوٹ کا پیکر پاکستان بمقابلا جھوٹ,0,1,1,0,0,0
اپنے خرچے پر کبھی یہ عورت نہین گئی اب عوام کے خرچے پر عمرے واہ خدا تجھے تیرے مقدر تک پہنچائے,0,1,1,0,0,0
ڈرامے باز پاکستان کی ترقی کا سب سے بڑا دشمن,0,1,1,0,0,0
فراڈی,0,1,1,0,0,0
اس فتنہ نیازی کا خاتمہ پاکستان کی بقا کے لئے ناگزیر ہے,0,1,1,0,0,0
بہوسڑی کا ڈرامے بازی کرتے ہوے,0,1,1,0,0,0
ہڈیوں کا ڈھانچہ,0,1,1,0,0,0
نانی ایک اور سرجری کرنے دوڑ پڑی,0,1,1,0,0,0
یہ عمرہ کرنے گئی ہے یا ماڈلنگ,0,1,1,0,0,0
مریم چورنی یہی کردار ملے گا اسکو,0,1,1,0,0,0
چورنی نا بن جانا بہت پسند کرتے ہیں تم کو ایسا نا ہو نفرت ہی ہو جائے تم سے اس مریم چورنی کا کیریکٹر کرتے دیکھ کر,0,1,1,0,0,0
ادھر بھی جا کے یہ ہجری ماڈلنگ سے باز نہیں آ رہی,0,1,1,0,0,0
بے وقوف جاہل ڈفر عورت عبادت میں بھی ریا کاری سارا وقت فوٹو سیشن ہی کرواتی رہی ہے,0,1,1,0,0,0
گیراجن بنی ہے,0,1,1,0,0,0
سو چوہے کھا کے بلی عمرہ کرنے چلی چوہی,0,1,1,0,0,0
شیطان بھی عمرہ کرتے ہیں,0,1,1,0,0,0
دو جھوٹے,0,1,1,0,0,0
گندگی ایک ہی تصویر میں,0,1,1,0,0,0
خوب گزرے گی جو مل بیٹھیں گے بھکاری دو,0,1,1,0,0,0
گھڑی چوررررررر,0,1,1,0,0,0
اف کس قدر جاہل ہو شوبز,0,1,1,0,0,0
روسیاہ,0,1,1,0,0,0
پورا پاکستان ننگا کر دیا مبارک ہو لگی گھر کو آگ اپنے ہی چراغ سے,0,1,1,0,0,0
غریب کی ہاہ لگی ہے تجھے جس کی بھینس کی وجہ سے تم نے مارا تھا,0,1,1,0,0,0
ان غریبوں کو مارا تھا سواتی نے بدلہ آج لیا قدرت نے,0,1,1,0,0,0
او بھی میں پاکستان کا شہری ہوں میری طرف سے کوئی معافی نہ مانگو اس ڈرامے باز سے,0,1,1,0,0,0
عوام مے نفرت اور بد تہزیبی کی ما سٹر ماین,0,1,1,0,0,0
وہ دن یاد ہے جب باجوڑ سے تعلق رکھنے والی فیملی کی گائے غلطی سے اعظم سواتی کہ فام ہاوس میں گھس گئی تھی اس کے بعد اس فیملی کا کیا حال کیا گیا تھا وہ تصویروں اور ویڈیو میں دیکھ سکتے ہیں آج اعظم سواتی کہتا ہے مجھے ننگا کر کہ مارا گیا ہے یہ ہے غریب کی بددعا,0,1,1,0,0,0
ماشاءاللہ جلنے والوں کا منہ کالا,0,1,1,0,0,0
اعظم سواتی کے مطابق یہ وڈیو اس وقت کی ہے جب وہ سپریم کورٹ ججز کے کوئٹہ ریسٹ ہاوس میں ٹھہرے تھے اب پتہ چلا کہ عدل و انصاف اچانک رات بجے کیوں جاگتا ہے اور پھر چیخیں مار مار کر جگانے سے بھی نہیں جاگتا,0,1,1,0,0,0
نی تو کیندی سی میں چاچو عمران نو ویکھنا آ ویکھ لا سامنے بیٹھا ای تیرا چاچو عمران,0,1,1,0,0,0
گندے لوگ,0,1,1,0,0,0
اس وقت جو لوگ چیخ رہے ہیں اس وقت کہاں تھے جب نیب حراست میں مریم نواز کی ویڈیو ریکارڈ کی گئی اس وقت کہاں تھے جب راناثناءاللہ پر ٹارچر کی لائیو ویڈیو عمران خان دیکھتا تھا,0,1,1,0,0,0
پاکستان کیوں شرارت عمرانی لونڈوں نے کی اداروں پر الزام تراشی کے لیے اور معافی پاکستان مانگے,0,1,1,0,0,0
اب پھٹ رہی ہے تو چیخیں نکل رہی ہیں یوتھیوں کی,0,1,1,0,0,0
بھونکنے پر پابندی پیمرا,0,1,1,0,0,0
سوری فار واٹ جھوٹے الزامات پر,0,1,1,0,0,0
ہماری طرف سے کوئی شرمندگی نہیں اس بکاو اور کرپٹ جھوٹے انسان کے لیے,0,1,1,0,0,0
ڈنگر,0,1,1,0,0,0
حالت تو اسکی اتنی خراب ہے جیسے حمل گرنے والا ہو,0,1,1,0,0,0
ہاہاہاہاہاہا اداکاری کا آسکر ایوارڈ اس کو ملے گا کا,0,1,1,0,0,0
گھٹیا,0,1,1,0,0,0
نوٹنکی,0,1,1,0,0,0
نیلا تھوتھا,0,1,1,0,0,0
ڈرامہ باز فتنہ,0,1,1,0,0,0
اچا ناں پٹھان دا فٹے منہ عمران دا,0,1,1,0,0,0
لوہے کا چنا,0,1,1,0,0,0
ناراض نہ ہوجان خنزیر,0,1,1,0,0,0
اس طرح والے پر لعنت,0,1,1,0,0,0
ڈرامے باز خنزیر,0,1,1,0,0,0
پاکستانی معاشرے کا کینسر,0,1,1,0,0,0
یہودی ایجنٹ,0,1,1,0,0,0
بہروپہ,0,1,1,0,0,0
جب کتا ا ونٹ پر وار کرتا ہے تو ا س کے پاؤں تک ہی پہنچ پاتا ہے,0,1,1,0,0,0
انکی پھٹ نہیں رہی پھٹ گئی ہے,0,1,1,0,0,0
عمران نائی نے ڈرامے بازی میں پرویز الہی کا بھی ریکارڈ توڑ دیا\nگولی کھا کر بھی ایسے چل رہا تھا جیسے پھوپھی کو ملنے جا رہا ہو\nگھٹیا اسکرپٹ رائٹر اور پھدو ایکٹنگ ڈائریکٹر,0,1,1,0,0,0
اسے لگ رہا ہے جیسے فرعون بیٹھا ہے,0,1,1,0,0,0
شیطان کا پجاری,0,1,1,0,0,0
اک بہن یک,0,1,0,1,1,0
خبیث بدکار گھڑی چور ناجائز بچوں کا بے شرم باپ,0,1,0,1,1,0
فتنہ گھڑی چور,0,1,0,1,1,0
جھوٹا فراڈیا اپنی منی لانڈرنگ اور گھڑی چوری سے جان چھڑانے کے لیے ملک کو آگ لگا نے والا دجال عمران نیازی,0,1,0,1,1,0
تیری بہن کے خصم بنیں گے,0,1,1,0,0,0
لو جی مزید چوویلیں مارنے کے لئے سلیکٹڈ تیار ہے,0,1,1,0,0,0
جاہلوں کا ٹولہ,0,1,1,0,0,0
فتنہ فساد اور شر ہمیشہ خطرناک ہی ہوتے ہیں,0,1,1,0,0,0
چل بھوسڑی کہ,0,1,1,0,0,0
کتے کی موت مرے کمینہ زندگی عذاب بناٸ ہوٸ ہے,0,1,1,0,0,0
بے غیرت,0,1,1,0,0,0
ڈرامہ بازاعظم,0,1,1,0,0,0
گدھا لنگڑا ہوا,0,1,1,0,0,0
فیشن نہ کر عبادت کر چول,0,1,1,0,0,0
جھوٹ کا پلندہ,0,1,1,0,0,0
چڑیل,0,1,0,1,1,0
چڑیل,0,1,0,1,1,0
ھم نے احرام میں لپٹے ھوئے ابلیس بھی دیکھے ہیں,0,1,0,1,1,0
بھگوڑے باپ کی ڈرپوک بیٹی,0,1,0,1,1,0
زہریلی ناگن,0,1,0,1,1,0
گھٹیا عورت,0,1,0,1,1,0
ھندہ,0,1,0,1,1,0
مادر ذلت دختر علت جھوٹی فراڈن قطرینہ,0,1,0,1,1,0
آوارہ,0,1,0,1,1,0
چ وتیہ عورت,0,1,0,1,1,0
تمہارے گناہ معاف نہیں ہونے چاہئے جو کرلو,0,1,0,1,1,0
چوہوں والی بات ہے,0,1,0,1,1,0
گشتی چورنی غدار جھوٹی کتیا,0,1,0,1,1,0
قطری کی رکھیل,0,1,0,1,1,0
کلیجہ چبانے والی,0,1,0,1,1,0
پاکستان کا کچرا,0,1,0,1,1,0
رنڈی مفت بر جاہل وغیرہ وغیرہ وغیرہ,0,1,0,1,1,0
کلیجہ,0,1,0,1,1,0
پلاسٹک کی ڈائن,0,1,0,1,1,0
حرام کی اولاد ہیں,0,1,0,1,1,0
پاکستان اور اپنے خاندان کی عزت کی تباہی اور بربادی,0,1,0,1,1,0
سرٹیفاہیڈ چورنی,0,1,0,1,1,0
بھونکنے والی خارش زدہ کتیا,0,1,0,1,1,0
بے لگام بے غیرت بھگوڑی,0,1,0,1,1,0
کلیجہ چبانے والی عورت,0,1,0,1,1,0
چورنی نمبر,0,1,0,1,1,0
چور اور جھوٹی راجکماری,0,1,0,1,1,0
پولیس والوں کی گڑیا باجی حاجیوں کی روحانی پیشوا معززین کی باجی وڈیوز والی,0,1,0,1,1,0
یہ ک تیا ایک لفظ سے پ کاری ہی نہیں جا سکتی جھ وٹی چورنی مکارنی ک تیا یہ سارے نام اس نانی مکارنی کے لیے پرفیکٹ ہیں,0,1,0,1,1,0
دیکھے ہیں احرام میں لپٹے ابلیس ہم نے,0,1,0,1,1,0
تکبر اور حسد سے بڑی ہوئی بیوقوف کم ظرف نانی لعنت ہو اس پر,0,1,0,1,1,0
حرام کی کمائی کا نتیجہ,0,1,0,1,1,0
بھگوڑی,0,1,0,1,1,0
گھٹیا اور جھوٹی کمینی عورت ہے,0,1,0,1,1,0
گٹر بدبو,0,1,0,1,1,0
لعنتی بڈھی بھگوڑی گیراجن قطری نانی,0,1,0,1,1,0
اللہ اس حاضری کی برکت سے عقل اور سمجھ عطا فرمائے چند ٹکوں کی خاطر جھوٹ بولنے اور باطل قوتوں کا ساتھ دینے سے بچائے آمین,0,1,0,1,1,0
اس بڈھی بدکار مائی پر لعنت,0,1,0,1,1,0
جھوٹی ترین نانی,0,1,0,1,1,0
جھوٹی,0,1,0,1,1,0
چور باپ کی چور بیٹی بلکہ خبیث کی اولاد,0,1,0,1,1,0
دل شیطان سے بھی زیادہ گندہ\nاللہ معاف کرے,0,1,0,1,1,0
قطری رانڈ,0,1,0,1,1,0
یہ بازار حسن کے عزتدار رھایشی ھین,0,1,0,1,1,0
چنڈال,0,1,0,1,1,0
باجوہ نے گھوڑوں کی ریس میں گدھ پر داؤ لگایا ہے,0,1,0,1,1,0
موجودہ دور کا سب سے بڑا عورت فتنہ,0,1,0,1,1,0
احرام میں لپٹے کٸ ابلیس دیکھے,0,1,0,1,1,0
بھگوڈی,0,1,0,1,1,0
سوراخ چھوٹا ہوگیا کہ نہیں,0,1,0,1,1,0
رنڈیوں کی سردار,0,1,0,1,1,0
بلی سو چوہے کھا کے حج کو چلی,0,1,0,1,1,0
لاکھ دی لعنت بگھوری,0,1,0,1,1,0
وہ پوچھنا یہ تھا کہ وہ جو آپ کی ایک چھوٹی سی سرجری ہونی تھی وہ ہوگئی,0,1,0,1,1,0
غلیظ ترین فتنہ عورت,0,1,0,1,1,0
بہادر اہل لائق مہذب,0,1,0,1,1,0
چلو جی نو سو چوہے کھا کے بلی حج نو چلی حرام کے پیسوں کے جتنے مرضی حج عمرے کر لو بے شک الل ہ دلوں کا حال جاننے والا ہے,0,1,0,1,1,0
یہاں بھی فوٹو سیشین لکھ دی لعنت اسکی ذندگی پر,0,1,0,1,1,0
نو ہزار چوہے کھا کر عمرے پر چلی,0,1,0,1,1,0
کلیجہ چبا نے والی عورت,0,1,0,1,1,0
ایک بہادر اور نڈر لڑکی جو اکیلے پورے سسٹم کے ساتھ لڑ گئی اور اپنے والد کے لئے جیت چھین لی,0,1,0,1,1,0
جھوٹی جس کی لندن تو کیا پاکستان میں بھی کوئی پراپرٹی نہیں ہے,0,1,0,1,1,0
پیلے دانتوں والی لڑکی,0,1,0,1,1,0
جاتی امرا کی بگھوڑی,0,1,0,1,1,0
اگر آپ کی ٹانگوں کے درمیان ہمیشہ خون بہہ رہا ہے تو ڈاکٹر سے ملنے کا وقت آگیا ہے,0,1,0,1,1,0
ڈائین چورنی جھوٹی پورن میکر بلیک میلر,0,1,0,1,1,0
گھٹیا خاتون,0,1,0,1,1,0
چاپلوسی کم کر ایڈمن,0,1,0,1,1,0
اس موقع کو صرف فوٹو سيشنز کی نظر مت کر ديجيے گا خوش قسمت ہيں اللہ سبحانہ سے گڑ گڑا کر معافی مانگيں اور عہد کريں دروغ گوئ اور ديگر برائيوں سے بچيں گی اپنے ساتھيوں کو بھی تنبيہ کريں گی کرپٹ لوگوں سے دوری کريں گی اگر مکہ مدينہ کی ذيارات کو نگاہوں ميں رکھيں گی تو نہيں بھٹکيں گی,0,1,0,1,1,0
کیا فائدہ سپوٹ چوروں کو کرنا ہے اللہ کے گھر جا کر بھی ٹیوٹر پر بکواس تریں ٹیوٹ کرنا بغض عمران خان میں الزام تہمتیں لگا رہی ہے سجدے کرنے سے کوئی مسلمان نہیں ہوتا اگر ایسا ہوتا تو ابلیس بھی مسلمان ہوتا مگر دیکھو مردود کر دیا گیا,0,1,0,1,1,0
قطری رکھیل,0,1,0,1,1,0
ڈائین,0,1,0,1,1,0
حرام پے پلنے والی اولاد,0,1,0,1,1,0
ڈاکو نانی,0,1,0,1,1,0
ہیرو کیلئے الفاظ نہیں ہوتے کہ کچھ کہہ سکے زمانہ یاد رکھے گا کہ تھا کوٸ ٹکر کا آدمی\nبس یہی کہہ سکتا ہوں ٹکر کا بندہ ہے\nالل ہ تعالی ہزاروں سال کی زندگی صحت دے اور اپنے بچوں کے سروں پر ان کا سایہ قائم رکھے آمین ثم آمین,0,1,0,1,1,0
ربڑ کے تاجر,0,1,0,1,1,0
جھوٹی چورنی,0,1,0,1,1,0
نڈر,0,1,0,1,1,0
مکار بڑھیا,0,1,0,1,1,0
عمرے پر گئی ہو یا شیخوں کو راضی کرنے گی ویسے بھی بدکردار اور ذلیل انسان کا کوئی دین ایمان نہیں جہاں مارکیٹ بڑھتی ہے خود لیٹا لیتی ہو پھر شیخ اور حنا بٹ اور پھر جہت جہت پت پت سمجھ تو گئی ہوگی کیونکہ تیرا ایکسپیرینس زندگی بھر کا رہا ہے,0,1,0,1,1,0
دانت صاف کیا کرو گندی لڑکی,0,1,0,1,1,0
میک اپ کی سپر سٹور,0,1,0,1,1,0
چن چن کے لاتا بھائی تو,0,1,0,1,1,0
جھوٹی عورت,0,1,0,1,1,0
حنا بہن ادھر توبہ کر لو ن لیگ کو خیر آباد کہ دو کیونکہ ان لوگوں نے آپ کو جھوٹ لکھنے کے لیے رکھا ہوا ہم دعا کرتے ہیں اللہ تعالی آپ کو ان لوگوں سے بچائے آمین,0,1,0,1,1,0
پٹواریوں کی رول ماڈل مسلمان پٹواریوں کو چاہیے کہ اس کے نقش قدم پر چلیں,0,1,0,1,1,0
چور باپ کی چور بیٹی,0,1,0,1,1,0
کلیجہ چبانے والی ڈاین,0,1,0,1,1,0
سستی دانشوڑ,0,1,0,1,1,0
گٹر,0,1,0,1,1,0
کلیجے چبانے والی ڈائن,0,1,0,1,1,0
شوباز کی نا بننے والی خاتون اول,0,1,0,1,1,0
مردہ ضمیر ضمیر فروش,0,1,0,1,1,0
سرجری سے چھوٹی کروا لی ہے اس نے,0,1,0,1,1,0
پائین اے دیکھو,0,1,0,1,1,0
گندی عورت پلاسٹک سرجری,0,1,0,1,1,0
جھوٹی مکار,0,1,0,1,1,0
فٹے منہ,0,1,0,1,1,0
گٹڑ,0,1,0,1,1,0
لفظ یوتھیا کا پہلا حرف ی بدل کے اس کی جگہ چ لگادیں تو جو لفظ بنے گا صرف وہی لفظ اس بندے کے لیئے ہوگا اس کے بعد عامر متین سے پوچھ لیں کہ میری بات میں کوئی زبان کی غلطی تو نہیں,0,1,0,1,1,0
کتی ڈائن,0,1,0,1,1,0
چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور چور,0,1,0,1,1,0
خوبصورت ڈائن,0,1,0,1,1,0
مکار لومڑی,0,1,0,1,1,0
لفافے صحافی,0,1,0,1,1,0
بے دم ہوئے بیمار دوا کیوں نہیں دیتے تم اچھے مسیحا ہو ش فا کیوں نہیں دیتے,0,1,0,1,1,0
گھٹیا سوزوکی,0,1,0,1,1,0
مریم نواز نے یہ خبر دے ہے,0,1,0,1,1,0
ہماری جان چھوڑ دو تم سب سیاہ ستدان,0,1,0,1,1,0
خوشبو کا تو بیڑہ ہی غرق ہوا پڑا ہے,0,1,0,1,1,0
ہائے اللہ,0,1,0,1,1,0
بھائی کا کرش ہے کامران لعنتی,0,1,0,1,1,0
کھسری حنا ٹچ چورنی کی پالتو خنزیرنی,0,1,0,1,1,0
لٹ گئے ہم تیری محبت میں,0,1,0,1,1,0
یوتھنی کو بولو مردوں میں مت کھسو نیازی کی نصیحت ہے,0,1,0,1,1,0
گھٹیا عورت نوکروں کو مارنے والی اور پاکستان میں گند پھیلانے والی دو نمبر عورت گھٹیا کھسرئ,0,1,0,1,1,0
بے وقوف عورت,0,1,0,1,1,0
چنگڑی,0,1,0,1,1,0
بڈھا,0,1,1,0,0,0
سنیٸر رکھیل اور طواٸف تو کہا جاسکتاہےلیکن کچھ اور نہی,0,1,1,0,0,0
جھوٹ,0,1,1,0,0,0
تم بھی فنکار ہو بھینس کی تصویر لگا کر پوچھتے ہو کیسی لگی,0,1,1,0,0,0
یہ جرنلسٹ کے نام پہ کرپٹ لوگوں کو سپورٹ کرتی ہے اور ان سے بھتہ لیتی ہے,0,1,1,0,0,0
لوڑا زبیر بولو,0,1,0,1,1,0
سنئر گشتی,0,1,0,1,1,0
یہ لیڈر کی جوتی برابر بھی نہیں,0,1,0,1,1,0
ع غ یہ صحافی تھوڑی ہے اسے کون صحافی کہتا ہے,0,1,1,0,0,0
کھوتے کا بچہ,0,1,0,1,1,0
لوڑا میرا سینئر,0,1,0,1,1,0
صحافت کے نام پر گالی,0,1,1,0,0,0
صحافتی طوائف,0,1,0,1,1,0
تبھی تو عقل سے پیدل ہے گھڑی چور,0,1,0,1,1,0
بھڑوا دلال,0,1,0,1,1,0
یوتھیا,0,1,1,0,0,0
عمرانڈو کا کتے والا ٹائیگر,0,1,0,1,1,0
بھگوڑا پھٹو,0,1,0,1,1,0
غدار بھگوڑا ملعون,0,1,0,1,1,0
کھوتی دا پتر دلال لفافہ,0,1,0,1,1,0
عمران خان کے ٹٹے چاٹنے والا,0,1,0,1,1,0
لعنت رنڈی کے بچے پر,0,1,0,1,1,0
گٹھیا,0,1,1,0,0,0
کتے کا بچہ,0,1,0,1,1,0
اف اللہ معاف کرے کھسری تو بدشکلی تھی ہی اسکا باپ تو خلائی مخلوق کی طرح ہے,0,1,1,0,0,0
چوتیا اور یوتھیوں کو چوتیا بنانے والا,0,1,0,1,1,0
دل وں کا دلال,0,1,0,1,1,0
لوگ ضمیر بیچتے ہیں\nیہ حرام کی پیداوار زبان بیچتا ہے,0,1,1,0,0,0
لھنت ھے اس پر,0,1,1,0,0,0
عورتوں سے بھی زیادہ مکار انسان ہے,0,1,1,0,0,0
عمرانڈو دلا,0,1,0,1,1,0
لعنت اللہ,0,1,1,0,0,0
خنزیر بھی دلال بھی اور نیازی کا یار بھی,0,1,0,1,1,0
حرامخوروں کی میں آگ لگانے والا بہت بولتے ہو,0,1,0,1,1,0
چوتھیا اینڈ یوتھیا,0,1,0,1,1,0
یہ تو لاہور کا مشہور دلا تھا,0,1,0,1,1,0
بےغیرت,0,1,0,1,1,0
چوتیا اوہ سوری یوتھیا,0,1,0,1,1,0
دگرڑ دلا,0,1,0,1,1,0
بیغرتوں کو ننگا کرنے والا مرد مجاہد,0,1,0,1,1,0
بیغرت جوتھیا,0,1,0,1,1,0
چوتیا آدمی,0,1,0,1,1,0
گوگی کا بھائی\nپٹواریوں کا سالا\nخان نے کتا پالا,0,1,0,1,1,0
تحریک انصاف کے پیدائشی جھوٹے دجالوں کا روحانی پیشوا یہ ہی ھے,0,1,0,1,1,0
دلا صحافی کا کام نہیں ھوتا ایک پارٹی بننا,0,1,0,1,1,0
جھوٹا مکار دھوکے باز,0,1,1,0,0,0
بہروپیا گیلا تیتر پراپیگنڈا ایکسپرٹ,0,1,0,1,1,0
سرٹیفائئڈ دلا,0,1,1,0,0,0
کھاڑک نالہ جیل روڈ کا دلال,0,1,1,0,0,0
دگڑ دلا,0,1,1,0,0,0
یوتھیا پرو میکس,0,1,1,0,0,0
امریکی پالتوں کتا,0,1,1,0,0,0
بھگوڑا,0,1,1,0,0,0
بڈھا بھونکنے والا بیغیرت کتا,0,1,0,1,1,0
انکل بھی پریشان ہوں گے کہ مجھے دنیا میں ہی عذاب مل گیا ہے,0,1,1,0,0,0
تیرا باپ بیچارہ بدھو تم اسکی لگتی ہی نہیں ہو یہ تو بیچارہ شریف ہے اور تم ایک کتیا,0,1,0,1,1,0
لعنت تیرے,0,1,1,0,0,0
جھوٹا تھتھا,0,1,1,0,0,0
ٹکر کا بھگوڑا گانڈو,0,1,0,1,1,0
بھاگنے والے ٹکر کے لوگ,0,1,1,0,0,0
کنجر دلہ لفافہ صحافی پیسے لے کر بھونکنے ولا,0,1,0,1,1,0
سر آپ اس دن کنڈوم یوز کر لیتے تو آج آ پ کی بھی عزت رہ جاتی,0,1,1,0,0,0
دو نمبر حرامی عمرانڈو ایک نمبر تو سمجھ گئے ہونگے,0,1,0,1,1,0
دگڑ دلا جو کچھ عرصہ پہلے ایک موٹرسائیکل پر لاہور میں دلالی کرتا تھا اور گوگی اور اسکی سہیلی کو گاہکوں کے گھر پہنچاتا تھا اور پھر ترقی کرتے کرتے گوگی اور اسکی سہیلی آج کہاں پہنچ گئی اور ساتھ میں انہوں نے اس گیلے تیتر کو بھی بہت ترقی کروائ,0,1,0,1,1,0
دھی چود,0,1,0,1,1,0
جیسا باپ کی شکل س ؤ ر اسی نسل جیسے کرتوت\nمزاری کی رکھ ی ل,0,1,0,1,1,0
بھگوڑے,0,1,0,1,1,0
چھوتھیا نیازی کو پالتو کتا,0,1,0,1,1,0
ٹٹے چک,0,1,1,0,0,0
لخ دی تھو,0,1,1,0,0,0
جھوٹا فراڈ و نوسرباز,0,1,0,1,1,0
عمرانڈو,0,1,0,1,1,0
صحافی نہیں یہ تحریک انصاف کا پالتو ہے,0,1,1,0,0,0
دائیمند مارکیٹ والی کا منڈا,0,1,1,0,0,0
گوگی کا دلا گیلا تیتر حرام خور نیازی کا دگڑدلا,0,1,0,1,1,0
صحافت سے ناواقف باقی کی طرح وہ ن لیگ یہ بلے کا چمچہ ہے سامنے ٹویٹ رکھ کر پڑھ رہا ہوتا ہے اور اپنے یو ٹیوب چینل پر تہلکہ مچانے والی خبر بنانے کی کوشش کر رہا ہے,0,1,1,0,0,0
صحافیوں کا دلال بھڑوا,0,1,0,1,1,0
بڑھوا,0,1,1,0,0,0
سور کا بچہ,0,1,0,1,1,0
چوتڑ,0,1,0,1,1,0
عمران خان کی حمایت کر کے یوٹیوب پر کم سے کم ایک مہینے کا سے کروڑ کمانے والا بے شرم اور جھوٹا,0,1,0,1,1,0
حرام کا نطفہ,0,1,1,0,0,0
دلال صہافی,0,1,0,1,1,0
لعنتی بے شرم بے غیرت ذلیل منافق گ دھ,0,1,0,1,1,0
ظاہر ہے گیلا تیتر,0,1,1,0,0,0
جھوٹ بولنے کی مشین ہے یہ بندہ,0,1,1,0,0,0
بزدل بھگوڑا,0,1,1,0,0,0
بھڑوہ,0,1,1,0,0,0
